2014-05-17 14:09:28,776 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: hud.iys:HUDIYS:1.0 @ D:\GitRepository\HUD-IYS\HUDIYS\pom.xml.
2014-05-17 14:09:28,776 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: hud.iys:HUDIYS:1.0 @ D:\GitRepository\HUD-IYS\HUDIYS\pom.xml.
2014-05-17 14:09:43,134 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-17 14:09:43,136 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitRepository\HUD-IYS\HUDIYS\src\main\resources
2014-05-17 14:09:43,140 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-17 14:09:43,141 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitRepository\HUD-IYS\HUDIYS\src\test\resources
2014-05-17 14:09:44,204 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: hud.iys:HUDIYS:1.0 @ D:\GitRepository\HUD-IYS\HUDIYS\pom.xml.
2014-05-17 14:09:44,450 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: hud.iys:HUDIYS:1.0 @ D:\GitRepository\HUD-IYS\HUDIYS\pom.xml.
2014-05-17 14:10:09,121 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-17 14:10:09,122 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitRepository\HUD-IYS\HUDIYS\src\main\resources
2014-05-17 14:10:09,124 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-17 14:10:09,125 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitRepository\HUD-IYS\HUDIYS\src\test\resources
